Statistical profiling result from isolate-0x2f10e60-v8.log, (1174 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
    575   49.0%   52.6%  C++
     48    4.1%    4.4%  GC
     80    6.8%          Shared libraries
     26    2.2%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    271   53.0%   23.1%  v8::internal::Runtime_StringBuilderConcat(int, v8::internal::Object**, v8::internal::Isolate*)
    124   24.3%   10.6%  v8::internal::Builtin_ArraySlice(int, v8::internal::Object**, v8::internal::Isolate*)
     70   13.7%    6.0%  v8::internal::Builtin_HandleApiCall(int, v8::internal::Object**, v8::internal::Isolate*)
     13    2.5%    1.1%  v8::internal::Runtime_CompileLazy(int, v8::internal::Object**, v8::internal::Isolate*)
      6    1.2%    0.5%  v8::internal::Runtime_CompileOptimized_Concurrent(int, v8::internal::Object**, v8::internal::Isolate*)
      5    1.0%    0.4%  v8::internal::Builtin_ArrayUnshift(int, v8::internal::Object**, v8::internal::Isolate*)
      4    0.8%    0.3%  v8::internal::Builtin_ArrayConcat(int, v8::internal::Object**, v8::internal::Isolate*)
      3    0.6%    0.3%  v8::internal::Builtin_ObjectGetOwnPropertyDescriptor(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.4%    0.2%  v8::internal::Runtime_AllocateInNewSpace(int, v8::internal::Object**, v8::internal::Isolate*)
      2    0.4%    0.2%  v8::internal::Builtin_ArraySplice(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_StoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_RemoveArrayHoles(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_RegExpInitializeAndCompile(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_LoadGlobalIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_KeyedStoreIC_Miss(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_EstimateNumberOfElements(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_CreateDataProperty(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Runtime_CreateArrayLiteral(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Builtin_ObjectGetOwnPropertySymbols(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Builtin_JsonParse(int, v8::internal::Object**, v8::internal::Isolate*)
      1    0.2%    0.1%  v8::internal::Builtin_Impl_ArraySlice(v8::internal::BuiltinArguments, v8::internal::Isolate*)

 [Bottom up (heavy) profile]:
  Note: percentage shows a share of a particular caller in the total
  amount of its parent calls.
  Callers occupying less than 1.0% are not shown.

   ticks parent  name
    143   12.2%  void v8::internal::String::WriteToFlat<unsigned char>(v8::internal::String*, unsigned char*, int, int)
    143  100.0%    v8::internal::Runtime_StringBuilderConcat(int, v8::internal::Object**, v8::internal::Isolate*)
    143  100.0%      LazyCompile: *DoJoin native array.js:94:16
    140   97.9%        LazyCompile: *Join native array.js:119:14
    104   74.3%          LazyCompile: *InnerArrayJoin native array.js:274:24
    104  100.0%            LazyCompile: *join native array.js:287:46
     36   25.7%          LazyCompile: ~InnerArrayJoin native array.js:274:24
     26   72.2%            LazyCompile: ~join native array.js:287:46
     10   27.8%            LazyCompile: *join native array.js:287:46
      3    2.1%        LazyCompile: ~Join native array.js:119:14
      3  100.0%          LazyCompile: ~InnerArrayJoin native array.js:274:24
      3  100.0%            LazyCompile: ~join native array.js:287:46

    128   10.9%  v8::internal::Runtime_StringBuilderConcat(int, v8::internal::Object**, v8::internal::Isolate*)
    126   98.4%    v8::internal::Runtime_StringBuilderConcat(int, v8::internal::Object**, v8::internal::Isolate*)
    124   98.4%      LazyCompile: *DoJoin native array.js:94:16
    120   96.8%        LazyCompile: *Join native array.js:119:14
     80   66.7%          LazyCompile: *InnerArrayJoin native array.js:274:24
     80  100.0%            LazyCompile: *join native array.js:287:46
     40   33.3%          LazyCompile: ~InnerArrayJoin native array.js:274:24
     33   82.5%            LazyCompile: ~join native array.js:287:46
      7   17.5%            LazyCompile: *join native array.js:287:46
      4    3.2%        LazyCompile: ~Join native array.js:119:14
      4  100.0%          LazyCompile: ~InnerArrayJoin native array.js:274:24
      4  100.0%            LazyCompile: ~join native array.js:287:46
      2    1.6%      LazyCompile: ~DoJoin native array.js:94:16
      2  100.0%        LazyCompile: ~Join native array.js:119:14
      2  100.0%          LazyCompile: ~InnerArrayJoin native array.js:274:24
      2  100.0%            LazyCompile: ~join native array.js:287:46
      2    1.6%    LazyCompile: *InnerArrayJoin native array.js:274:24
      2  100.0%      v8::internal::Runtime_StringBuilderConcat(int, v8::internal::Object**, v8::internal::Isolate*)
      2  100.0%        LazyCompile: *DoJoin native array.js:94:16
      2  100.0%          LazyCompile: *Join native array.js:119:14
      2  100.0%            LazyCompile: *InnerArrayJoin native array.js:274:24

    104    8.9%  LazyCompile: *DoJoin native array.js:94:16
    101   97.1%    LazyCompile: *Join native array.js:119:14
     63   62.4%      LazyCompile: *InnerArrayJoin native array.js:274:24
     63  100.0%        LazyCompile: *join native array.js:287:46
     28   44.4%          LazyCompile: *machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
     28  100.0%            LazyCompile: ~InsertionSort native array.js:542:23
     22   34.9%          LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
     22  100.0%            Builtin: ArrayFilter
      9   14.3%          LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      9  100.0%            LazyCompile: ~fromLexems /home/mcfinley/projects/current/zen-parser/lib/Parser.js:29:14
      4    6.3%          LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      4  100.0%            LazyCompile: ~InsertionSort native array.js:542:23
     38   37.6%      LazyCompile: ~InnerArrayJoin native array.js:274:24
     29   76.3%        LazyCompile: ~join native array.js:287:46
     17   58.6%          LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
     17  100.0%            LazyCompile: ~InsertionSort native array.js:542:23
      7   24.1%          LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      7  100.0%            Builtin: ArrayFilter
      5   17.2%          LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      5  100.0%            LazyCompile: ~fromLexems /home/mcfinley/projects/current/zen-parser/lib/Parser.js:29:14
      9   23.7%        LazyCompile: *join native array.js:287:46
      4   44.4%          LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      4  100.0%            LazyCompile: ~InsertionSort native array.js:542:23
      3   33.3%          LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      3  100.0%            LazyCompile: ~fromLexems /home/mcfinley/projects/current/zen-parser/lib/Parser.js:29:14
      2   22.2%          LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
      2  100.0%            Builtin: ArrayFilter
      3    2.9%    LazyCompile: ~Join native array.js:119:14
      3  100.0%      LazyCompile: ~InnerArrayJoin native array.js:274:24
      3  100.0%        LazyCompile: ~join native array.js:287:46
      2   66.7%          LazyCompile: ~machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
      2  100.0%            LazyCompile: ~InsertionSort native array.js:542:23
      1   33.3%          LazyCompile: ~parse /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:60:15
      1  100.0%            LazyCompile: ~fromLexems /home/mcfinley/projects/current/zen-parser/lib/Parser.js:29:14

     95    8.1%  Builtin: ToString
     93   97.9%    LazyCompile: *ConvertToString native array.js:132:25
     93  100.0%      LazyCompile: *DoJoin native array.js:94:16
     87   93.5%        LazyCompile: *Join native array.js:119:14
     56   64.4%          LazyCompile: *InnerArrayJoin native array.js:274:24
     56  100.0%            LazyCompile: *join native array.js:287:46
     31   35.6%          LazyCompile: ~InnerArrayJoin native array.js:274:24
     19   61.3%            LazyCompile: ~join native array.js:287:46
     12   38.7%            LazyCompile: *join native array.js:287:46
      6    6.5%        LazyCompile: ~Join native array.js:119:14
      6  100.0%          LazyCompile: ~InnerArrayJoin native array.js:274:24
      6  100.0%            LazyCompile: ~join native array.js:287:46
      2    2.1%    LazyCompile: ~ConvertToString native array.js:132:25
      2  100.0%      LazyCompile: *DoJoin native array.js:94:16
      2  100.0%        LazyCompile: ~Join native array.js:119:14
      2  100.0%          LazyCompile: ~InnerArrayJoin native array.js:274:24
      2  100.0%            LazyCompile: ~join native array.js:287:46

     90    7.7%  LazyCompile: *ConvertToString native array.js:132:25
     90  100.0%    LazyCompile: *DoJoin native array.js:94:16
     87   96.7%      LazyCompile: *Join native array.js:119:14
     63   72.4%        LazyCompile: *InnerArrayJoin native array.js:274:24
     63  100.0%          LazyCompile: *join native array.js:287:46
     37   58.7%            LazyCompile: *machines.sort /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:74:32
     20   31.7%            LazyCompile: ~machines.filter.machine /home/mcfinley/projects/current/zen-parser/lib/parser/parse.js:76:34
